,ASER,BWM-DL02,BWM-DL04,BWM-DL06,FLPR,BWM-DL01,BWM-DL05,BWM-VR08,BWM-DL07,BWM-DR07,BWM-DR05,BWM-VR04,URYVR,BWM-DR03,BWM-DR01,BWM-DR06,BWM-DR08,SMBDL,BWM-VR02,SMDDR,URYVL,URAVL,BWM-DR04,BWM-DR02,IL2VR,IL1DR,RIPR,OLLR,OLQDR,URADR,URYDR,AVHL,CEPVR,IL1VR,BWM-VL03,URBL,CEPDR,BWM-VL08,URXR,BWM-VL04,RID,RIR,ASKR,AVAL,BWM-VL02,RMDL,SIBDR,RIGL,ALMR,AVDR,AVKL,RMEV,AVL,SIBDL,RIS,CEPVL,RMDR,RIBR,OLLL,RIML,RMEL,SAAVR,SIAVL,ADAR,PVT,RIPL,AVAR,BDUL,SIADL,SMDDL,excgl,AIML,BAGL,SMBVL,AIYL,RIFL,BWM-VR01,RMER,SMDVR,ADAL,SIBVL,RMDVR,AVKR,AVHR,PVPL,ASHL,AIZL,AVBR,AVBL,ASGL,ADFL,AWAL,BWM-VR03,AUAL,ASJL,RIBL,ASIL,ASKL,AIBL,AFDL,SABD,AWCR,RIMR,ASIR,AVJR,AUAR,OLQVL,ADFR,DB1,RIGR,AIZR,ASGR,URBR,SAAVL,IL1DL,SMBVR,AVJL,RIFR,BDUR,RMGR,AIMR,RICR,PVR,DVA,SMDVL,PVCR,PVCL,IL1R,FLPL,ADEL,ADER,DVC,SIADR,SIAVR,PVPR,RIH,PVQR,AWBL,SABVL,SABVR,IL2R,RIVR,BWM-VR07,RMDDR,IL2DR,AIBR,IL1VL,RMED,SAADR,RIAR,RICL,RIVL,BWM-VL07,SAADL,AINR,AINL,RMDDL,RIAL,BWM-VL05,CANL,ADLL,AVEL,BWM-VR05,AVDL,IL2VL,ALML,SMBDR,AWCL,ASEL,ALA,AVER,ADLR,CANR,AIAL,ASJR,PVQL,AIYR,RMDVL,AIAR,AWAR,BWM-VR06,IL1L,RMGL,IL2L,AWBR,AFDR,ASHR,URAVR,URADL,OLQDL,URYDL,IL2DL,CEPDL,URXL,BAGR,OLQVR,BWM-VL01,BWM-DL03,BWM-DL08,BWM-VL06,SIBVR,Fragment1,Fragment2,Fragment3,Fragment4
SAAVL,60240,0,1920,4680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886640,0,0,0,0,0,0,0,1440,0,4800,28920,0,0,0,0,36000,0,0,0,0,35400,0,25800,1187520,0,89640,97560,9360,0,0,48480,0,0,29160,0,0,27480,0,0,833040,0,642240,11280,195000,0,0,508560,0,158040,220080,93600,0,42360,0,0,0,0,0,165720,19680,480,45120,0,0,0,0,0,18480,24360,0,0,0,0,42120,0,0,0,0,88200,4680,169320,1320,1693320,9360,0,0,0,0,0,659400,0,83880,0,0,0,267000,0,0,0,59160,600,162240,0,6240,814200,0,18840,0,0,72480,163560,0,84960,102240,0,256080,0,0,0,0,0,158280,0,0,0,26640,0,0,687960,39840,0,322080,0,22080,8520,0,0,514800,0,0,0,0,0,0,0,0,831120,0,0,0,60600,0,0,0,59400,0,0,143760,0,0,0,0,181560,0,0,0,0,0,0,0,16920,0,0,0,2520,0,0,0,0,0,1440,0,0,0,0
IL1DL,5160,67440,0,0,0,100440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800,251280,41640,0,0,0,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31560,0,41640,0,140400,0,0,0,0,0,0,236640,0,383640,0,0,0,1680,978480,0,15360,0,0,0,25680,37680,0,0,0,0,2640,9000,0,0,0,600,0,0,13800,0,0,0,0,0,0,0,45600,33240,43560,3360,2280,0,1680,0,3720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800,0,0,0,0,0,119640,0,52320,0,0,0,0,0,0,21480,0,0,0,0,0,0,0,0,0,0,0,83880,0,0,0,221760,0,0,5520,0,0,50640,8880,9120,0,0,0,0,5040,0,0,0,0,0,91920,1560,0,16200,0,0,0,0,0,0,0,1861080,0,0,0,141960,0,0,0,0,0,0,557520,1230840,1546200,1045800,735480,3720,0,0,0,0,0,0,0,0,0,0,0
SMBVR,5400,0,0,0,8880,0,0,113760,0,0,0,102960,12960,0,0,0,0,193080,42720,46560,0,0,0,0,8280,0,6360,78360,0,0,0,148560,331800,126480,0,0,0,0,0,0,0,0,0,0,0,55680,836880,117480,0,0,90480,145800,0,0,281880,0,11160,0,0,0,0,0,0,108960,113760,0,5040,0,0,41160,506280,0,0,102120,0,0,151680,0,0,0,413520,0,128880,0,0,0,66360,2040,124080,0,0,0,100560,0,0,0,0,0,0,0,126480,0,162480,0,0,0,0,540960,0,325560,1145760,0,209760,267000,0,0,72240,144960,0,111360,124560,498120,17520,24840,237840,39000,14400,0,0,0,0,0,33840,1037040,18360,40680,140160,0,0,0,135480,0,87000,67920,0,0,0,0,1112520,111960,12240,166440,0,75120,0,0,144360,34920,0,0,0,0,53520,86640,0,0,1129920,0,0,0,0,543000,0,0,9000,0,118800,423720,117720,90840,59760,0,0,0,169080,0,659520,0,0,0,0,0,0,0,0,396240,0,0,0,0,175920,0,0,0,0
AVJL,0,0,0,0,65400,0,0,0,0,0,0,0,14760,0,0,0,0,4080,0,0,0,0,0,0,0,0,0,0,0,360,34800,396120,0,0,0,1440,0,0,4440,0,0,0,0,0,0,0,122160,0,73320,131280,0,0,0,33240,281040,0,0,0,28800,0,0,11160,0,211320,0,0,201120,286560,0,34680,0,35760,0,0,0,0,0,0,0,0,73800,0,0,720,10200,73320,0,853200,480240,0,0,0,0,0,23640,0,27240,0,0,0,0,0,60720,0,188400,0,0,0,0,0,0,0,20400,0,7800,72240,0,950760,289680,23880,0,12000,167400,11760,1680,1072440,368040,0,0,0,0,0,120,41280,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,133440,0,0,0,0,191880,0,0,0,0,140160,0,0,583800,0,110400,0,0,480,27360,39480,155400,0,0,0,3360,371760,0,0,0,0,0,0,0,0,0,173040,0,26640,23400,9720,0,18360,27720,0,9360,0,0,0,0,0,0,0,0,0
RIFR,218640,0,0,0,99720,0,0,0,0,0,0,0,0,0,0,0,0,8640,0,0,0,0,0,0,0,0,0,0,19680,24000,0,203520,9720,0,0,0,26760,0,10200,0,0,0,578400,0,0,0,0,0,198360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276000,0,0,0,80760,0,0,0,17160,0,0,0,0,0,0,0,0,0,0,0,60720,169080,264120,0,543120,129600,0,0,0,0,0,0,0,0,0,0,0,0,0,430080,3000,75360,0,0,19320,0,0,0,0,37080,0,0,144960,950760,0,1021800,810840,127560,0,12480,0,0,11280,99600,53880,0,0,0,0,0,0,25320,0,597840,15120,0,0,0,0,0,0,32880,38640,0,0,0,0,0,0,0,6720,0,0,0,0,0,0,0,0,0,19080,0,0,0,0,0,0,21480,0,0,0,160920,0,126960,0,492720,45120,0,0,0,0,163320,0,961320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDUR,0,0,0,0,24240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200,26520,0,105120,0,0,0,0,8760,0,0,0,0,0,0,0,0,0,4680,0,580440,0,0,0,0,0,68520,0,0,0,0,0,0,0,0,134160,0,0,0,39840,0,0,40800,0,0,0,0,0,0,0,0,0,33000,0,0,104040,0,0,0,4200,14040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89880,0,0,0,26640,0,0,0,3960,0,0,0,289680,1021800,0,326280,0,6000,853560,93000,0,257760,97320,8280,0,0,0,0,0,0,25440,0,147600,0,0,0,0,0,0,0,44640,0,0,0,0,0,27840,0,0,0,0,0,0,0,0,0,0,0,0,97080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMGR,0,0,0,0,0,0,0,50040,0,0,0,120480,0,0,0,317040,0,0,0,486960,0,0,40200,0,0,0,0,22440,0,0,0,0,51120,0,0,0,9480,0,195600,0,0,0,208320,840,0,2024280,85200,0,175560,0,316440,0,4800,0,108720,0,585120,1320,0,35520,0,290640,0,55320,0,0,7440,0,98280,120840,32160,0,0,0,0,0,0,0,0,0,114840,843000,365760,0,0,0,0,104640,0,0,0,0,0,0,0,0,0,0,343080,0,0,0,0,0,0,0,0,0,65040,310200,0,0,11160,59160,0,111360,23880,810840,326280,0,367440,263640,216120,21720,410280,18840,0,31440,0,0,0,9120,0,12840,0,0,1043520,0,0,0,89760,0,0,3120,0,0,0,0,223440,0,25440,198720,0,125280,0,0,186480,0,0,0,0,3240,0,13440,0,0,135720,0,0,0,137880,56280,0,0,25080,0,0,85320,67080,18000,220200,0,0,0,117960,0,171120,0,0,0,0,0,0,0,0,0,0,0,0,0,201120,0,0,0,0
AIMR,25560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16560,0,0,24240,0,12000,0,67800,0,0,0,24000,0,131400,0,0,0,268800,0,0,0,0,0,100560,18480,0,0,0,22800,68400,0,0,0,0,0,0,0,0,0,0,0,0,0,25800,50760,0,48840,0,0,0,0,0,0,0,0,0,0,0,13320,0,85200,0,2880,0,0,0,0,0,0,5640,0,0,0,0,0,56880,0,0,0,15840,0,0,0,74880,0,25800,675840,0,600,0,124560,0,127560,0,367440,0,143280,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,711360,0,0,0,44520,0,0,0,10320,82920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20640,0,0,101040,0,0,0,746400,50640,0,0,1183320,151680,0,0,0,0,20040,0,239160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RICR,0,0,0,0,0,12960,0,0,8760,10080,1440,0,0,0,0,0,0,162600,0,778320,34800,0,0,0,48480,480,55080,45000,155520,78120,0,480,407880,4560,0,229800,218520,0,53760,0,240720,0,0,462600,0,437520,537000,0,4200,72840,32760,0,2640,371520,86400,470280,0,0,0,39360,0,309600,277080,397320,0,23760,287400,0,7080,295920,576120,0,0,0,0,0,0,0,210000,485640,853920,17640,71160,0,0,0,0,0,24120,0,0,0,0,0,0,0,0,0,52800,0,51840,0,96120,0,0,0,181560,0,45000,0,44760,29400,511320,162240,0,498120,12000,0,6000,263640,143280,0,413760,295080,203880,4080,0,33960,0,0,0,7800,130560,363360,72960,0,36480,0,0,0,46440,75240,0,240,60480,33000,30960,0,0,0,1714920,102840,0,53520,0,0,64320,0,0,0,0,0,0,192600,4920,0,233160,0,0,0,19920,0,0,0,0,0,0,7200,0,0,0,0,81480,0,0,0,103440,6240,75480,353280,0,36000,236880,6960,0,276120,0,0,0,0,317760,64440,0,0,0
PVR,0,0,0,0,83640,0,0,3960,0,720,0,0,49920,2040,0,0,0,0,0,0,48840,230160,0,0,0,169560,393000,0,3360,148440,0,16080,589560,22200,0,14040,387360,10200,2520,122160,25440,0,0,1680,0,20280,110880,0,1118040,149160,0,0,0,12480,86760,836760,14400,0,0,0,0,0,0,276960,0,248760,40320,345600,0,0,257640,0,0,42240,0,0,38640,0,0,39720,162360,0,0,9240,0,0,0,343800,79920,0,0,0,0,0,0,0,0,0,0,0,43800,0,0,0,178440,0,178560,0,0,0,0,0,0,0,119640,17520,167400,12480,853560,216120,3000,413760,0,270360,12720,84840,2760,0,0,0,46560,0,0,6600,3240,0,21600,0,0,0,0,61320,0,0,124680,0,34440,0,0,0,233520,262800,0,0,0,0,2400,0,0,0,0,0,0,443400,37680,765600,6120,0,0,0,0,0,0,0,0,0,0,0,0,0,17880,0,0,0,0,0,0,70680,139200,0,0,70800,251520,0,0,6000,17880,0,0,0,29280,0,0,0,0
DVA,0,0,0,0,10440,0,0,0,0,0,0,0,14760,0,0,0,0,151080,0,0,46560,25320,0,0,16200,0,0,0,0,0,20280,609000,0,20760,0,0,0,0,57600,0,437640,923400,0,209880,0,0,77880,0,0,533400,37560,88680,0,96360,0,0,0,10200,0,109800,0,54720,876000,764760,0,0,143400,62400,327000,0,1080,0,84840,0,0,0,0,0,461400,534360,1662000,16320,0,420480,888000,0,570000,809040,828840,0,14040,0,0,0,0,65760,0,0,69000,0,67320,0,176280,0,0,21600,23040,213240,53040,96840,717360,0,10920,6240,0,24840,11760,0,93000,21720,0,295080,270360,0,336000,160920,175320,0,210600,22440,0,6480,261600,1387800,1162080,248160,0,3480,0,0,0,99840,0,0,0,260760,42360,0,26040,0,275280,108960,0,95760,0,0,0,0,0,0,0,234960,0,425040,19560,68760,242640,0,0,0,451440,0,0,0,0,0,0,43800,0,8040,0,0,162000,0,0,1800,43200,24120,0,0,0,0,0,139440,80160,16320,0,0,0,0,1198320,104520,0,43320,0
SMDVL,0,0,0,0,0,0,1560,0,0,0,0,81480,297360,0,27960,0,0,28680,0,2610480,0,0,0,0,0,0,0,174720,0,0,0,39240,602280,0,0,80640,0,0,0,0,2160,0,0,422640,0,197400,67680,8280,0,0,62520,349680,101160,72960,1277520,0,145920,524880,191280,612000,0,168840,0,188280,0,0,195360,0,393480,165360,600,0,45840,0,0,0,20160,0,1093200,0,5040,29760,65160,0,0,0,0,45960,0,0,0,0,290520,47400,0,136920,0,0,0,1440,196680,600,408240,0,0,0,0,0,0,0,0,0,0,814200,52320,237840,1680,0,0,410280,0,203880,12720,336000,0,0,0,0,110280,61800,234720,0,517800,283680,0,193920,0,0,0,0,0,85440,0,291360,0,195480,0,205560,986520,1607040,148440,760800,0,0,22560,0,8040,832800,0,0,0,233520,32520,20400,0,0,0,0,0,0,6960,0,0,0,0,0,0,116280,0,0,7320,88080,0,59520,0,0,0,0,0,0,0,0,38760,0,47160,0,0,6960,0,0,2040,0,0,0,9720
PVCR,0,0,0,0,231240,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214560,0,0,0,0,0,1680,0,0,0,0,0,0,26400,0,29040,0,0,409560,0,0,28680,0,0,3960,0,0,0,0,0,1560,0,226200,3720,0,0,0,0,0,412920,750840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40920,0,0,39000,1072440,11280,257760,18840,0,4080,84840,160920,0,0,125400,0,0,0,0,0,12000,166440,473880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64680,0,0,0,0,0,0,0,0,0,0,87840,0,696000,0,0,58920,0,0,0,55200,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,0,27840,0,0,0,0,0,0,0,0,600,0,0,0,0,55800,0,0,0,0
PVCL,0,0,0,0,352560,0,0,0,0,0,0,0,0,0,0,0,0,111240,0,0,18240,0,0,0,0,0,0,0,0,0,0,124320,0,0,0,0,0,0,0,0,408840,56760,0,275640,0,0,720,14520,0,278520,0,0,0,0,188400,0,0,0,0,94920,0,0,65160,0,0,0,0,50400,0,0,0,0,0,8520,38520,0,0,0,0,4440,54480,0,0,375840,641640,22200,0,522600,679920,0,0,0,0,0,0,0,0,0,0,0,0,0,53640,0,1183680,0,29760,0,0,70800,14640,0,0,18840,0,14400,368040,99600,97320,0,0,0,2760,175320,0,125400,0,0,0,62880,83400,0,0,48000,80400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29160,4080,0,34800,0,237360,90120,0,0,0,63960,0,0,0,0,0,7440,0,0,0,0,0,0,0,2640,0,11280,0,0,6960,4200,0,0,0,240,0,0,0,0,0,78720,0,0,0,0
IL1R,0,0,0,0,0,0,0,0,0,0,0,29280,0,0,0,0,0,0,302880,0,0,0,0,190080,0,236880,0,1280400,0,122760,0,0,0,228480,0,0,20760,0,61560,0,0,0,12480,0,0,251760,840,0,29400,0,0,0,0,0,0,0,293880,78000,0,0,1117080,1200,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,480,29640,0,50880,370320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44520,0,0,16320,0,8040,0,53280,0,0,0,0,0,0,663720,0,0,0,0,53880,8280,31440,0,33960,0,0,0,0,0,0,0,0,0,0,0,3120,0,0,0,0,0,0,836760,44040,0,1005960,0,9360,0,15240,0,75600,0,0,0,73920,0,42840,240240,40560,0,0,0,190080,0,0,0,0,0,12360,8760,30480,109560,30600,0,0,0,0,2400,334920,0,0,0,0,0,0,0,7080,0,280680,0,0,0,0,0,0,0,0,0,0,0,0,15360,0,0,0,0
FLPL,0,0,0,0,443760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672960,0,0,0,0,0,0,0,0,86160,0,4920,0,0,0,0,30720,0,0,0,6840,0,0,237600,0,0,0,26280,0,0,0,0,0,0,0,0,50160,0,0,209400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102000,0,0,0,9720,0,0,0,0,0,0,174240,0,0,0,0,0,0,0,0,0,0,0,0,0,210600,110280,0,0,0,0,555480,184440,108480,12360,0,0,1296600,0,0,0,0,0,51000,0,0,0,25320,0,0,348600,360,0,39120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,0,0,0,0
ADEL,0,0,0,0,196080,0,0,0,0,0,0,0,0,0,0,0,0,28680,0,170760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239760,0,0,0,105720,0,57480,0,0,67200,0,840,0,0,0,0,0,0,149640,0,0,6720,0,438840,51360,0,0,426480,0,0,0,0,0,0,0,136560,294720,3120,0,169680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50760,0,0,0,0,0,0,0,0,34080,0,0,0,72480,0,0,0,0,0,0,0,0,0,22440,61800,0,62880,0,555480,0,1239720,62640,0,0,0,205680,0,0,0,0,0,7320,0,0,0,0,0,0,411480,0,0,0,0,134400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12240,0,0
ADER,0,0,0,0,64080,0,0,0,0,0,0,0,0,0,0,0,0,47280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325560,0,0,0,231480,0,0,16800,0,21840,0,0,0,0,0,0,0,0,0,0,299640,15960,0,140280,0,0,0,201120,0,0,0,0,0,0,0,0,0,88680,0,335040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111840,0,0,0,0,0,0,0,0,111840,0,0,0,163560,0,0,0,0,0,0,0,0,46560,0,234720,0,83400,0,184440,1239720,0,125160,0,0,840,212880,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,404760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2640,0,0,0,0
DVC,0,0,0,0,66360,0,0,0,0,0,0,0,200880,0,0,0,0,11160,0,1920,104040,14520,0,0,49680,26760,0,7680,37920,0,37200,0,0,20880,0,1080,0,0,2880,0,190200,0,0,270600,0,0,0,1309200,0,0,2188440,215880,890040,0,6480,0,0,306120,123960,22680,98160,0,0,0,2460480,0,340200,0,37680,27360,0,0,104760,12120,0,0,0,0,0,12480,0,0,2265360,0,0,0,353760,3720,0,0,0,0,0,0,0,425880,0,0,775680,0,0,0,181080,0,0,0,165480,0,0,1486080,263160,0,480,0,21480,0,0,0,0,9120,0,7800,0,6480,0,0,0,0,108480,62640,125160,0,0,0,85440,199080,0,0,0,0,0,291720,0,0,0,595200,2880,232680,67800,0,9240,434760,0,116040,0,0,0,0,0,0,0,85080,0,0,49560,0,0,0,0,0,76800,0,0,0,0,0,0,0,0,0,0,0,5520,0,0,0,0,18480,0,41880,24240,0,0,61680,28200,88320,0,0,0,0,0,0,0,0,0
SIADR,0,0,0,0,5520,0,0,0,0,0,0,0,48720,0,0,0,0,0,0,624000,0,0,0,0,6960,0,0,0,0,0,11640,93240,0,23520,0,5880,0,0,9360,0,0,0,0,95280,0,160680,633840,0,0,0,362880,0,0,31560,53040,0,210600,113760,0,64440,0,93480,20280,0,172680,0,6960,0,161280,720,0,27000,0,0,0,0,0,0,345240,21840,56280,207600,262200,0,0,10200,0,0,36840,0,0,720,0,0,14880,11040,0,0,230520,0,0,0,458280,0,8280,0,0,0,0,145560,84360,0,4800,84960,0,33840,120,0,0,0,0,130560,0,261600,517800,12000,0,0,12360,0,0,0,0,424200,71160,98640,0,0,0,0,0,0,0,89520,0,0,0,0,336240,295080,101280,17760,0,0,0,0,193680,19560,0,0,27000,189000,0,53160,0,250800,1103040,0,0,16080,85320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25560,0,5280,0,0,0,56280,0,0,0,0,0,0,345720,0,0,0,14400
SIAVR,0,0,0,0,77760,0,0,7080,0,0,0,0,5400,0,0,0,0,46440,0,23160,0,0,0,0,2640,0,0,15840,0,0,0,21360,2520,10320,0,0,0,0,0,0,0,0,0,0,0,468720,1169520,0,0,0,159000,0,0,23160,44400,0,22680,64080,0,0,0,27360,0,88920,0,0,76560,0,57120,4080,6840,0,0,0,0,0,0,0,0,0,340800,28680,29880,0,0,0,0,4080,102480,0,0,0,0,0,0,0,0,0,6000,0,79680,0,330360,0,0,0,0,30480,35520,9360,0,0,277320,102240,0,1037040,41280,0,0,12840,0,363360,6600,1387800,283680,166440,48000,3120,0,0,0,0,424200,0,95280,6720,0,0,0,0,82320,0,0,20040,0,0,0,0,6240,49800,133440,375120,0,8160,0,0,57000,222360,0,0,0,265320,0,2280,0,0,535800,0,0,0,0,0,0,0,0,0,0,572760,0,0,0,0,0,0,0,0,204960,12720,0,0,0,0,0,0,0,9720,0,0,0,0,489960,95280,0,0,0
PVPR,4800,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,0,5400,936360,0,0,0,0,0,0,565320,0,0,952200,0,185880,0,0,36960,0,0,2160,0,0,149280,0,0,0,0,0,0,0,0,0,0,176400,0,0,195960,0,0,0,0,0,167760,0,0,0,0,0,0,0,70440,0,14280,42120,2280,0,0,427440,1055760,0,0,0,0,0,0,0,0,0,270840,0,0,0,20520,0,47160,0,0,50760,0,3960,0,0,0,0,0,18360,21000,25320,25440,0,0,72960,3240,1162080,0,473880,80400,0,0,0,840,85440,71160,95280,0,0,0,0,0,0,0,0,0,0,0,3240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267120,0,0,0,0,0,0,0,18480,0,0,0,0,6120,0,0,45120,0,0,0,0,55680,0,312600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIH,0,0,0,0,1097160,0,0,0,0,0,0,0,117000,0,0,0,0,184080,0,600,571080,127200,0,0,529080,133920,1139040,0,2070360,12120,357240,0,365280,0,0,0,496560,0,258960,0,0,943200,0,18600,0,0,0,140280,0,0,19680,916080,244440,0,414000,1201080,0,196320,0,46800,742200,200400,0,10080,254040,719760,37440,0,0,12720,17760,0,107640,0,372840,0,0,1056480,15480,54960,163920,0,25800,0,0,0,598920,88920,0,0,16440,0,0,86160,0,216840,0,0,38400,0,0,0,0,0,0,38520,593760,22200,0,175200,567720,0,0,256080,0,40680,0,0,0,0,0,0,0,248160,193920,0,0,0,1296600,205680,212880,199080,98640,6720,0,5040,0,0,0,0,533160,771840,0,0,1291200,48720,45960,702720,47160,714840,2400,456840,0,140880,36720,44760,24840,487320,0,0,0,0,0,0,642000,0,216480,0,0,0,111960,0,0,0,0,0,237720,41280,0,0,0,0,0,243120,0,0,0,19080,23520,988560,33960,832560,143280,116400,335760,516480,42120,0,0,0,273480,0,39240,2400,0
PVQR,336840,0,0,0,74160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5040,0,2880,0,0,3120,0,37440,0,0,0,0,0,6960,0,0,0,882840,0,0,0,0,0,0,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,120480,0,0,0,0,0,0,72360,0,0,0,0,0,0,0,0,0,5160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,360,0,0,0,0,0,0,140160,0,597840,147600,1043520,711360,36480,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,203040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173880,0,86520,0,0,1157040,0,0,0,369360,247440,0,0,0,0,5880,0,99240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBL,29040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6720,0,0,10680,0,0,0,0,0,0,0,0,0,0,11880,0,0,0,0,0,0,0,0,0,0,0,42840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84120,0,127800,369120,0,0,0,0,76920,0,0,0,523800,93840,453960,645720,0,0,0,958680,1081440,0,113040,36720,134040,90480,0,52920,131400,0,0,0,0,0,0,14040,74400,0,0,6360,0,0,0,0,0,0,15120,0,0,0,0,0,3480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186000,0,0,0,0,0,0,100080,471120,0,0,0,0,94200,0,7200,0,0,7680,0,0,0,80040,16680,69480,0,0,0,0,0,0,0,0,203880,0,0,0,0,0,0,0,0,0,0,0
SABVL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SABVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
